"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","38.740","+228","749","6,8","1.859"
"3","Bayern","53.298","+314","1.175","9,0","2.631"
"4","Berlin","10.319","+66","503","13,4","224"
"5","Branden­burg","3.708","+5","54","2,1","169"
"6","Bremen","1.851","+6","39","5,7","56"
"7","Hamburg","5.901","+14","142","7,7","264"
"8","Hessen","13.675","+189","828","13,2","528"
"9","Meck­lenburg-
Vor­pommern","975","+2","29","1,8","20"
"10","Nieder­sachsen","15.482","+54","388","4,9","656"
"11","Nord­rhein-West­falen","55.049","+396","2.743","15,3","1.780"
"12","Rhein­land-Pfalz","8.224","+76","325","8,0","242"
"13","Saarland","3.008","+8","62","6,3","174"
"14","Sachsen","5.736","+5","67","1,6","225"
"15","Sachsen-Anhalt","2.126","+3","50","2,3","64"
"16","Schles­wig-Holstein","3.807","+17","175","6,0","158"
"17","Thüringen","3.505","+7","62","2,9","186"
"18","Gesamt","225.404","+1.390","7.391","8,9","9.236"
