"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","53.868","+524","2.869","25,8","1.901"
"3","Bayern","72.843","+441","3.166","24,1","2.685"
"4","Berlin","17.828","+273","2.142","58,4","234"
"5","Branden­burg","4.740","+48","285","11,3","169"
"6","Bremen","3.058","178","452","66,4","60"
"7","Hamburg","8.912","+98","558","30,2","277"
"8","Hessen","21.911","+325","1.999","31,8","560"
"9","Meck­lenburg-
Vor­pommern*","1.373","+0","90","5,6","20"
"10","Nieder­sachsen","22.662","+172","1.405","17,6","697"
"11","Nord­rhein-West­falen","79.179","+961","6.128","34,1","1.911"
"12","Rhein­land-Pfalz","11.904","+96","771","18,8","256"
"13","Saarland","3.673","+87","235","23,8","177"
"14","Sachsen","8.340","+137","737","18,1","247"
"15","Sachsen-Anhalt","2.903","+45","158","7,2","68"
"16","Schles­wig-Holstein","5.235","+26","310","10,7","162"
"17","Thüringen","4.435","+72","222","10,4","191"
"18","Gesamt","322.864","+3.483","21.527","25,9","9.615"
