"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","37.896","+105","377","3,4","1.858"
"3","Bayern","51.946","+98","578","4,4","2.627"
"4","Berlin","9.740","+42","355","9,5","224"
"5","Branden­burg","3.634","+7","50","2,0","169"
"6","Bremen","1.809","+5","23","3,4","56"
"7","Hamburg","5.691","+13","201","10,9","262"
"8","Hessen","12.815","+78","594","9,5","525"
"9","Meck­lenburg-
Vor­pommern","943","+5","56","3,5","20"
"10","Nieder­sachsen","15.056","+82","377","4,7","654"
"11","Nord­rhein-West­falen","52.175","+413","2.348","13,1","1.763"
"12","Rhein­land-Pfalz","7.871","+39","270","6,6","239"
"13","Saarland","2.942","+12","50","5,0","174"
"14","Sachsen","5.655","+23","92","2,3","225"
"15","Sachsen-Anhalt","2.068","+7","34","1,5","64"
"16","Schles­wig-Holstein","3.620","+32","126","4,3","158"
"17","Thüringen","3.432","+5","45","2,1","183"
"18","Gesamt","217.293","+966","5.576","6,7","9.201"
