"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","40.173","+142","1.479","13,4","1.863"
"3","Bayern","55.061","+203","1.853","14,2","2.634"
"4","Berlin","10.728","+11","458","12,2","226"
"5","Branden­burg","3.787","0","78","3,1","169"
"6","Bremen","1.905","+5","60","8,8","56"
"7","Hamburg","6.054","+35","139","7,5","265"
"8","Hessen","14.657","+70","1.110","17,7","528"
"9","Meck­lenburg-
Vor­pommern","994","+2","22","1,4","20"
"10","Nieder­sachsen","16.096","+41","595","7,5","660"
"11","Nord­rhein-West­falen","56.916","+132","2.113","11,8","1.798"
"12","Rhein­land-Pfalz","8.667","+52","462","11,3","243"
"13","Saarland","3.076","+5","72","7,3","174"
"14","Sachsen","5.824","+4","83","2,0","225"
"15","Sachsen-Anhalt","2.180","+1","54","2,4","65"
"16","Schles­wig-Holstein","3.904","+2","108","3,7","160"
"17","Thüringen","3.553","+6","52","2,4","186"
"18","Gesamt","233.575","+711","8.738","10,5","9.272"
