"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","34.830","+17","148","1,3","1.761"
"3","Bayern","47.209","+71","386","3,0","2.479"
"4","Berlin","6.901","+27","168","4,5","200"
"5","Branden­burg","3.280","+7","24","1,0","156"
"6","Bremen","1.462","+15","113","16,5","44"
"7","Hamburg","5.096","-2","14","0,8","253"
"8","Hessen","10.129","+49","195","3,1","482"
"9","Meck­lenburg-
Vor­pommern","763","+2","4","0,2","20"
"10","Nieder­sachsen","12.182","+68","330","4,1","601"
"11","Nord­rhein-West­falen","38.297","+112","554","3,1","1.611"
"12","Rhein­land-Pfalz","6.719","+7","52","1,3","230"
"13","Saarland","2.737","+2","21","2,1","164"
"14","Sachsen","5.312","+7","31","0,8","212"
"15","Sachsen-Anhalt","1.711","+4","8","0,4","55"
"16","Schles­wig-Holstein","3.103","-3","33","1,1","146"
"17","Thüringen","3.033","+11","81","3,8","167"
"18","Gesamt","182.764","+394","2.162","2,6","8.581"
