"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","35.942","+52","170","1,5","1.838"
"3","Bayern","49.023","+70","459","3,5","2.609"
"4","Berlin","8.537","+35","213","5,7","216"
"5","Branden­burg","3.483","+7","29","1,2","168"
"6","Bremen","1.684","+5","13","1,9","54"
"7","Hamburg","5.230","+6","16","0,9","261"
"8","Hessen","11.062","+50","191","3,0","514"
"9","Meck­lenburg-
Vor­pommern","805","0","1","0,1","20"
"10","Nieder­sachsen","13.754","+6","123","1,5","640"
"11","Nord­rhein-West­falen","44.492","+186","940","5,2","1.698"
"12","Rhein­land-Pfalz","7.112","+12","47","1,2","236"
"13","Saarland","2.809","+1","5","0,5","174"
"14","Sachsen","5.466","+1","13","0,3","225"
"15","Sachsen-Anhalt","1.898","+2","22","1,0","60"
"16","Schles­wig-Holstein","3.200","+6","28","1,0","153"
"17","Thüringen","3.286","+3","29","1,4","182"
"18","Gesamt","197.783","+442","2.299","2,8","9.048"
