"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","45.755","+432","1.456","13,2","1.868"
"3","Bayern","62.809","+408","2.275","17,4","2.647"
"4","Berlin","12.463","+109","538","14,4","227"
"5","Branden­burg","4.033","+17","65","2,6","169"
"6","Bremen","2.159","+22","71","10,4","59"
"7","Hamburg","6.917","+71","267","14,5","268"
"8","Hessen","17.084","+99","685","10,9","542"
"9","Meck­lenburg-
Vor­pommern","1.074","+10","33","2,1","20"
"10","Nieder­sachsen","18.160","+137","620","7,8","667"
"11","Nord­rhein-West­falen","63.155","+430","2.199","12,3","1.837"
"12","Rhein­land-Pfalz","9.859","+64","341","8,3","247"
"13","Saarland","3.240","+6","45","4,5","175"
"14","Sachsen","6.467","+37","236","5,8","226"
"15","Sachsen-Anhalt","2.366","+7","58","2,6","66"
"16","Schles­wig-Holstein","4.288","+33","116","4,0","161"
"17","Thüringen","3.834","+19","123","5,7","189"
"18","Gesamt","263.663","+1.901","9.128","11,0","9.368"
