"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","34.796","+12","263","2,4","1.758"
"3","Bayern","47.029","+25","543","4,2","2.456"
"4","Berlin","6.839","+23","169","4,5","198"
"5","Branden­burg","3.274","+1","29","1,2","155"
"6","Bremen","1.436","38","123","18,0","42"
"7","Hamburg","5.098","+9","16","0,9","253"
"8","Hessen","10.060","+13","252","4,0","480"
"9","Meck­lenburg-
Vor­pommern","761","0","2","0,1","20"
"10","Nieder­sachsen","12.065","+22","392","4,9","594"
"11","Nord­rhein-West­falen","38.100","+54","640","3,6","1.599"
"12","Rhein­land-Pfalz","6.704","+1","97","2,4","230"
"13","Saarland","2.730","6","21","2,1","163"
"14","Sachsen","5.309","0","58","1,4","211"
"15","Sachsen-Anhalt","1.707","+1","8","0,4","55"
"16","Schles­wig-Holstein","3.103","+6","36","1,2","145"
"17","Thüringen","3.017","+2","126","5,9","163"
"18","Gesamt","182.028","+213","2.775","3,3","8.522"
