"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","37.791","+24","329","3,0","1.858"
"3","Bayern","51.848","+45","607","4,6","2.627"
"4","Berlin","9.698","+10","361","9,6","224"
"5","Branden­burg","3.627","+1","48","1,9","169"
"6","Bremen","1.804","+1","22","3,2","56"
"7","Hamburg","5.678","+14","229","12,4","262"
"8","Hessen","12.737","+34","585","9,3","525"
"9","Meck­lenburg-
Vor­pommern","938","+2","55","3,4","20"
"10","Nieder­sachsen","14.974","+31","356","4,5","654"
"11","Nord­rhein-West­falen","51.762","+201","2.231","12,4","1.759"
"12","Rhein­land-Pfalz","7.832","+61","275","6,7","239"
"13","Saarland","2.930","+4","38","3,8","174"
"14","Sachsen","5.632","0","82","2,0","225"
"15","Sachsen-Anhalt","2.061","+4","29","1,3","64"
"16","Schles­wig-Holstein","3.588","+2","110","3,8","158"
"17","Thüringen","3.427","+2","50","2,3","183"
"18","Gesamt","216.327","+436","5.407","6,5","9.197"
