"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","56.488","+849","3.838","34,6","1.919"
"3","Bayern","75.535","+1.076","4.193","31,9","2.700"
"4","Berlin","19.537","+504","2.612","71,2","237"
"5","Branden­burg","5.098","+101","473","18,8","172"
"6","Bremen","3.274","+108","469","68,8","62"
"7","Hamburg","9.288","+135","563","30,5","278"
"8","Hessen","23.481","+662","2.620","41,7","569"
"9","Meck­lenburg-
Vor­pommern","1.532","+60","194","12,1","20"
"10","Nieder­sachsen","24.009","+449","1.838","23,0","706"
"11","Nord­rhein-West­falen","84.161","+1.805","8.085","45,0","1.931"
"12","Rhein­land-Pfalz","12.647","+237","1.065","26,0","260"
"13","Saarland","3.960","+93","425","43,1","177"
"14","Sachsen","9.122","+380","1.072","26,3","252"
"15","Sachsen-Anhalt","2.999","+33","168","7,7","68"
"16","Schles­wig-Holstein","5.456","+65","365","12,6","163"
"17","Thüringen","4.636","+81","347","16,3","196"
"18","Gesamt","341.223","+6.638","28.327","34,1","9.710"
