"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","41.942","+169","1.597","14,4","1.866"
"3","Bayern","57.219","+160","1.931","14,8","2.639"
"4","Berlin","11.189","+6","450","12,0","226"
"5","Branden­burg","3.870","+1","57","2,3","169"
"6","Bremen","1.993","+1","89","13,0","56"
"7","Hamburg","6.250","+23","150","8,1","266"
"8","Hessen","15.431","+32","733","11,7","531"
"9","Meck­lenburg-
Vor­pommern","1.008","+1","13","0,8","20"
"10","Nieder­sachsen","16.741","+51","550","6,9","661"
"11","Nord­rhein-West­falen","58.687","+103","1.594","8,9","1.811"
"12","Rhein­land-Pfalz","9.053","+45","366","9,0","243"
"13","Saarland","3.154","+1","72","7,3","174"
"14","Sachsen","5.953","+4","118","2,9","225"
"15","Sachsen-Anhalt","2.234","+2","46","2,1","65"
"16","Schles­wig-Holstein","4.029","+7","117","4,0","160"
"17","Thüringen","3.628","+4","69","3,2","186"
"18","Gesamt","242.381","+610","7.952","9,6","9.298"
