"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","43.259","+334","1.451","13,1","1.865"
"3","Bayern","58.692","+307","1.573","12,0","2.641"
"4","Berlin","11.623","+94","448","12,0","226"
"5","Branden­burg","3.923","+21","46","1,8","169"
"6","Bremen","2.056","+8","79","11,6","58"
"7","Hamburg","6.451","+55","210","11,4","267"
"8","Hessen","15.978","+66","590","9,4","535"
"9","Meck­lenburg-
Vor­pommern","1.023","+4","17","1,1","20"
"10","Nieder­sachsen","17.210","+77","498","6,2","665"
"11","Nord­rhein-West­falen","60.085","+274","1.560","8,7","1.823"
"12","Rhein­land-Pfalz","9.305","+45","299","7,3","243"
"13","Saarland","3.189","+13","54","5,5","174"
"14","Sachsen","6.138","+43","179","4,4","225"
"15","Sachsen-Anhalt","2.274","+11","40","1,8","66"
"16","Schles­wig-Holstein","4.115","+8","97","3,3","161"
"17","Thüringen","3.676","+18","55","2,6","186"
"18","Gesamt","248.997","+1.378","7.196","8,7","9.324"
