"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","35.272","+36","139","1,3","1.824"
"3","Bayern","47.827","+28","217","1,7","2.566"
"4","Berlin","7.733","+130","452","12,1","211"
"5","Branden­burg","3.383","+9","45","1,8","163"
"6","Bremen","1.636","+10","55","8,1","49"
"7","Hamburg","5.160","+4","19","1,0","259"
"8","Hessen","10.556","+53","217","3,5","500"
"9","Meck­lenburg-
Vor­pommern","791","0","9","0,6","20"
"10","Nieder­sachsen","13.136","+39","240","3,0","618"
"11","Nord­rhein-West­falen","40.372","+216","1.200","6,7","1663"
"12","Rhein­land-Pfalz","6.903","+20","61","1,5","234"
"13","Saarland","2.776","+2","9","0,9","168"
"14","Sachsen","5.408","+26","61","1,5","221"
"15","Sachsen-Anhalt","1.839","+21","92","4,2","57"
"16","Schles­wig-Holstein","3.133","+2","14","0,5","152"
"17","Thüringen","3.210","+5","46","2,1","178"
"18","Gesamt","189.135","+601","2.876","3,5","8.883"
