"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","37.767","+18","316","2,9","1.858"
"3","Bayern","51.803","+9","632","4,8","2.626"
"4","Berlin","9.688","+48","351","9,4","224"
"5","Branden­burg","3.626","+4","50","2,0","169"
"6","Bremen","1.803","+3","21","3,1","56"
"7","Hamburg","5.664","+54","221","12,0","262"
"8","Hessen","12.703","+101","572","9,1","525"
"9","Meck­lenburg-
Vor­pommern","936","+6","56","3,5","20"
"10","Nieder­sachsen","14.943","+32","341","4,3","654"
"11","Nord­rhein-West­falen","51.561","+231","2.180","12,2","1.759"
"12","Rhein­land-Pfalz","7.771","+23","220","5,4","239"
"13","Saarland","2.926","+13","36","3,6","174"
"14","Sachsen","5.632","+0","84","2,1","225"
"15","Sachsen-Anhalt","2.057","+0","27","1,2","64"
"16","Schles­wig-Holstein","3.586","+8","115","4,0","158"
"17","Thüringen","3.425","+5","49","2,3","183"
"18","Gesamt","215.891","+555","5.271","6,3","9.196"
