"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","38.968","+228","852","7,7","1.860"
"3","Bayern","53.707","+409","1.406","10,8","2.631"
"4","Berlin","10.394","+75","476","12,7","224"
"5","Branden­burg","3.728","+20","66","2,6","169"
"6","Bremen","1.865","+14","46","6,7","56"
"7","Hamburg","5.927","+26","137","7,4","264"
"8","Hessen","13.842","+167","897","14,3","528"
"9","Meck­lenburg-
Vor­pommern","978","+3","27","1,7","20"
"10","Nieder­sachsen","15.562","+80","406","5,1","656"
"11","Nord­rhein-West­falen","55.375","+326","2.640","14,7","1.783"
"12","Rhein­land-Pfalz","8.334","+110","391","9,6","242"
"13","Saarland","3.017","+9","62","6,3","174"
"14","Sachsen","5.749","+13","65","1,6","226"
"15","Sachsen-Anhalt","2.134","+8","46","2,1","64"
"16","Schles­wig-Holstein","3.825","+18","142","4,9","160"
"17","Thüringen","3.509","+4","52","2,4","186"
"18","Gesamt","226.914","+1.510","7.711","9,3","9.243"
