"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3"
"1","","An­zahl","Dif­fe­renz zum 
Vor­tag","Fälle/ 100.000 Einw.","Todes­fälle"
"2","Baden-Württem­berg","32.482","+71","293","1.452"
"3","Bayern","43.162","+165","330","1.949"
"4","Berlin","6.042","+32","161","154"
"5","Brandenburg","2.940","+26","117","123"
"6","Bremen","895","+2","131","31"
"7","Hamburg","4.644","+8","252","172"
"8","Hessen","8.585","+36","137","381"
"9","Mecklenburg-
Vor­pommern","703","+4","44","19"
"10","Niedersachsen","10.380","+55","130","463"
"11","Nordrhein-West­falen","33.728","+168","188","1.332"
"12","Rhein­land-Pfalz","6.160","+10","151","182"
"13","Saarland","2.618","+10","264","139"
"14","Sachsen","4.745","+43","116","171"
"15","Sachsen-Anhalt","1.585","+7","72","46"
"16","Schles­wig-Holstein","2.799","+11","97","118"
"17","Thüringen","2.392","+37","112","99"
"18","Gesamt","163.860","+685","197","6.831"
