"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Beson.ders.be.trof.fene.Gebiete.in.Deutsch.land"
"1","","An­zahl","Dif­fe­renz zum Vor­tag","Fälle/ 100.000 Einw.","Todes­fälle",""
"2","Baden-Württem­berg","5.348","+1.537","48","30",""
"3","Bayern","5.754","+862","44","30",""
"4","Berlin","1.220","+143","33","1",""
"5","Brandenburg","343","+55","14","",""
"6","Bremen","183","+13","27","",""
"7","Hamburg","1.043","+100","57","",""
"8","Hessen","1.620","+273","26","4",""
"9","Mecklenburg-Vor­pommern","199","+27","12","",""
"10","Niedersachsen","1.764","+281","22","6",""
"11","Nordrhein-West­falen","6.318","+703","35","33","Landkreis Heinsberg"
"12","Rhein­land-Pfalz","1.370","+193","34","5",""
"13","Saarland","337","+137","34","1",""
"14","Sachsen","811","+158","20","1",""
"15","Sachsen-Anhalt","321","+109","15","",""
"16","Schles­wig-Holstein","478","+95","17","2",""
"17","Thüringen","327","+78","15","1",""
"18","Gesamt","27.436","+4.764","33","114",""
