"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","35.530","0*","167","1,5","1.829"
"3","Bayern","48.344","+50","318","2,4","2.592"
"4","Berlin","8.176","+8","305","8,1","213"
"5","Branden­burg","3.419","+2","31","1,2","165"
"6","Bremen","1.661","0*","14","2,0","50"
"7","Hamburg","5.194","+16","36","2,0","259"
"8","Hessen","10.762","+1","163","2,6","506"
"9","Meck­lenburg-
Vor­pommern","801","0","8","0,5","20"
"10","Nieder­sachsen","13.502","+24","204","2,6","628"
"11","Nord­rhein-West­falen","42.869","+146","1.516","8,5","1.678"
"12","Rhein­land-Pfalz","6.987","+13","68","1,7","235"
"13","Saarland","2.806","+1","7","0,7","173"
"14","Sachsen","5.444","0*","18","0,4","222"
"15","Sachsen-Anhalt","1.869","+1","19","0,9","58"
"16","Schles­wig-Holstein","3.147","0","11","0,4","152"
"17","Thüringen","3.250","0*","19","0,9","181"
"18","Gesamt","193.761","+262","2.904","3,5","8.961"
