"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","36.111","+70","208","1,9","1.837"
"3","Bayern","49.350","+77","454","3,5","2.613"
"4","Berlin","8.656","+18","168","4,5","219"
"5","Branden­burg","3.462","0","15","0,6","167"
"6","Bremen","1.691","+1","12","1,8","55"
"7","Hamburg","5.231","0","11","0,6","261"
"8","Hessen","11.206","+37","219","3,5","514"
"9","Meck­lenburg-
Vor­pommern","804","0","0","0,0","20"
"10","Nieder­sachsen","13.823","+17","73","0,9","642"
"11","Nord­rhein-West­falen","45.115","+141","918","5,1","1.707"
"12","Rhein­land-Pfalz","7.196","+22","99","2,4","236"
"13","Saarland","2.819","+7","13","1,3","174"
"14","Sachsen","5.476","+3","13","0,3","225"
"15","Sachsen-Anhalt","1.919","+2","22","1,0","62"
"16","Schles­wig-Holstein","3.221","+14","31","1,1","154"
"17","Thüringen","3.295","+3","18","0,8","182"
"18","Gesamt","199.375","+412","2.274","2,7","9.068"
