"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","39.493","+266","1.076","9,7","1.863"
"3","Bayern","54.416","+315","1.676","12,8","2.632"
"4","Berlin","10.543","+80","388","10,4","226"
"5","Branden­burg","3.758","+18","67","2,7","169"
"6","Bremen","1.885","+8","57","8,3","56"
"7","Hamburg","5.989","+35","126","6,8","265"
"8","Hessen","14.260","+231","974","15,5","528"
"9","Meck­lenburg-
Vor­pommern","984","+3","25","1,6","20"
"10","Nieder­sachsen","15.885","+161","545","6,8","659"
"11","Nord­rhein-West­falen","55.936","+166","2.133","11,9","1.790"
"12","Rhein­land-Pfalz","8.514","+87","436","10,7","242"
"13","Saarland","3.040","+1","63","6,4","174"
"14","Sachsen","5.788","+19","66","1,6","225"
"15","Sachsen-Anhalt","2.155","+9","49","2,2","65"
"16","Schles­wig-Holstein","3.872","+21","129","4,5","160"
"17","Thüringen","3.530","+7","43","2,0","186"
"18","Gesamt","230.048","+1.427","7.853","9,4","9.260"
