"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","37.574","+60","363","3,3","1.851"
"3","Bayern","51.582","+205","722","5,5","2.624"
"4","Berlin","9.490","+91","310","8,3","224"
"5","Branden­burg","3.597","+9","36","1,4","168"
"6","Bremen","1.792","+2","29","4,2","56"
"7","Hamburg","5.486","+25","101","5,5","261"
"8","Hessen","12.310","+56","397","6,3","523"
"9","Meck­lenburg-
Vor­pommern","907","+18","45","2,8","20"
"10","Nieder­sachsen","14.723","+52","297","3,7","654"
"11","Nord­rhein-West­falen","50.493","+425","2.052","11,4","1.752"
"12","Rhein­land-Pfalz","7.667","+49","169","4,1","239"
"13","Saarland","2.897","+6","29","2,9","174"
"14","Sachsen","5.570","+10","33","0,8","225"
"15","Sachsen-Anhalt","2.044","+8","32","1,4","64"
"16","Schles­wig-Holstein","3.534","+18","128","4,4","158"
"17","Thüringen","3.401","+11","40","1,9","182"
"18","Gesamt","213.067","+1.045","4.783","5,8","9.175"
