"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","58.653","+1.198","4.683","42,2","1.927"
"3","Bayern","77.904","+1.224","5.131","39,1","2.714"
"4","Berlin","20.764","+676","2.882","78,5","240"
"5","Branden­burg","5.305","+94","497","19,7","172"
"6","Bremen","3.477","+100","533","78,2","62"
"7","Hamburg","9.457","+1","486","26,3","278"
"8","Hessen","25.033","+882","3.372","53,6","572"
"9","Meck­lenburg-
Vor­pommern*","1.590","0","203","12,6","20"
"10","Nieder­sachsen","25.287","+563","2.421","30,3","710"
"11","Nord­rhein-West­falen","88.204","+1.889","9.402","52,4","1.943"
"12","Rhein­land-Pfalz","13.227","+343","1.292","31,6","263"
"13","Saarland","4.221","+208","585","59,3","177"
"14","Sachsen","9.738","+403","1.260","30,9","257"
"15","Sachsen-Anhalt","3.134","+77","210","9,6","71"
"16","Schles­wig-Holstein","5.600","+90","387","13,3","163"
"17","Thüringen","4.793","+82","398","18,7","198"
"18","Gesamt","356.387","+7.830","33.742","40,6","9.767"
