"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","52.231","+652","2.291","20,6","1.898"
"3","Bayern","71.034","+653","2.372","18,1","2.681"
"4","Berlin","16.615","+378","1.687","46,0","232"
"5","Branden­burg","4.561","+78","225","8,9","169"
"6","Bremen","2.805","+103","337","49,5","60"
"7","Hamburg","8.544","+93","500","27,1","276"
"8","Hessen","20.662","+307","1.446","23,0","557"
"9","Meck­lenburg-
Vor­pommern","1.332","+28","119","7,4","20"
"10","Nieder­sachsen","21.743","+287","1.233","15,4","694"
"11","Nord­rhein-West­falen","75.671","+1.056","4.851","27,0","1.894"
"12","Rhein­land-Pfalz","11.499","+191","667","16,3","256"
"13","Saarland","3.499","+10","140","14,2","177"
"14","Sachsen","7.797","+118","424","10,4","243"
"15","Sachsen-Anhalt","2.815","+41","129","5,9","68"
"16","Schles­wig-Holstein","5.076","+44","245","8,4","162"
"17","Thüringen","4.260","+19","147","6,9","191"
"18","Gesamt","310.144","+4.058","16.813","20,2","9.578"
