"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","37.272","0*","299","2,7","1.847"
"3","Bayern","51.156","+76","586","4,5","2.622"
"4","Berlin","9.328","+9","323","8,6","223"
"5","Branden­burg","3.573","+8","26","1,0","168"
"6","Bremen","1.782","0","35","5,1","56"
"7","Hamburg","5.436","31","102","5,5","261"
"8","Hessen","12.142","+25","434","6,9","520"
"9","Meck­lenburg-
Vor­pommern","877","+2","33","2,1","20"
"10","Nieder­sachsen","14.567","+52","277","3,5","653"
"11","Nord­rhein-West­falen","49.435","+290","1.803","10,1","1.738"
"12","Rhein­land-Pfalz","7.543","+8","108","2,6","239"
"13","Saarland","2.881","+2","28","2,8","174"
"14","Sachsen","5.541","0*","23","0,6","225"
"15","Sachsen-Anhalt","2.031","+1","39","1,8","64"
"16","Schles­wig-Holstein","3.467","+4","139","4,8","156"
"17","Thüringen","3.371","+1","23","1,1","182"
"18","Gesamt","210.402","+509","4.278","5,1","9.148"
