"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","46.041","+286","1.462","13,2","1.868"
"3","Bayern","63.632","+823","2.567","19,6","2.647"
"4","Berlin","12.593","+130","555","14,8","227"
"5","Branden­burg","4.051","+18","76","3,0","169"
"6","Bremen","2.174","+15","77","11,3","59"
"7","Hamburg","6.964","+47","245","13,3","268"
"8","Hessen","17.233","+149","721","11,5","542"
"9","Meck­lenburg-
Vor­pommern","1.081","+7","37","2,3","20"
"10","Nieder­sachsen","18.256","+96","606","7,6","667"
"11","Nord­rhein-West­falen","63.565","+410","2.260","12,6","1.839"
"12","Rhein­land-Pfalz","9.929","+70","352","8,6","247"
"13","Saarland","3.262","+22","57","5,8","176"
"14","Sachsen","6.522","+55","247","6,1","226"
"15","Sachsen-Anhalt","2.378","+12","65","2,9","66"
"16","Schles­wig-Holstein","4.311","+23","115","4,0","161"
"17","Thüringen","3.865","+31","136","6,3","189"
"18","Gesamt","265.857","+2.194","9.578","11,5","9.371"
