"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3"
"1","","An­zahl","Dif­fe­renz zum 
Vor­tag","Fälle/ 100.000 Einw.","Todes­fälle"
"2","Baden-Württem­berg","34.431","+32","311","1.698"
"3","Bayern","46.326","+120","354","2.382"
"4","Berlin","6.642","+5","177","191"
"5","Brandenburg","3.214","0","128","154"
"6","Bremen","1.312","+13","192","41"
"7","Hamburg","5.069","+3","275","241"
"8","Hessen","9.770","+8","156","460"
"9","Mecklenburg-
Vor­pommern","760","0","47","20"
"10","Niedersachsen*","11.578","0","145","572"
"11","Nordrhein-West­falen","37.298","+75","208","1.565"
"12","Rhein­land-Pfalz","6.596","+6","161","228"
"13","Saarland","2.716","+3","274","157"
"14","Sachsen","5.231","+10","128","205"
"15","Sachsen-Anhalt","1.694","0","77","54"
"16","Schles­wig-Holstein","3.062","0","106","137"
"17","Thüringen","2.871","+14","134","152"
"18","Gesamt","178.570","+289","215","8.257"
