"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","38.422","+152","598","5,4","1.859"
"3","Bayern","52.847","+202","986","7,5","2.631"
"4","Berlin","10.196","+220","500","13,3","224"
"5","Branden­burg","3.695","+12","54","2,1","169"
"6","Bremen","1.835","+7","35","5,1","56"
"7","Hamburg","5.850","+29","172","9,3","264"
"8","Hessen","13.390","+203","732","11,7","526"
"9","Meck­lenburg-
Vor­pommern","970","+11","33","2,1","20"
"10","Nieder­sachsen","15.343","+25","381","4,8","656"
"11","Nord­rhein-West­falen","54.106","+445","2.659","14,8","1.777"
"12","Rhein­land-Pfalz","8.095","+36","320","7,8","242"
"13","Saarland","2.986","+10","60","6,1","174"
"14","Sachsen","5.719","+14","75","1,8","225"
"15","Sachsen-Anhalt","2.114","+15","55","2,5","64"
"16","Schles­wig-Holstein","3.768","+24","187","6,5","158"
"17","Thüringen","3.492","+10","67","3,1","186"
"18","Gesamt","222.828","+1.415","6.914","8,3","9.231"
