"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","46.935","+156","1.580","14,3","1.871"
"3","Bayern","64.625","+230","2.550","19,5","2.648"
"4","Berlin","13.065","+146","763","20,4","227"
"5","Branden­burg","4.088","+9","71","2,8","169"
"6","Bremen","2.215","+24","83","12,2","59"
"7","Hamburg","7.150","+75","297","16,1","269"
"8","Hessen","17.586","+70","743","11,9","544"
"9","Meck­lenburg-
Vor­pommern","1.105","0","42","2,6","20"
"10","Nieder­sachsen","18.791","+90","840","10,5","669"
"11","Nord­rhein-West­falen","65.078","+386","2.739","15,3","1.845"
"12","Rhein­land-Pfalz","10.085","+48","317","7,8","247"
"13","Saarland","3.232","+5","59","6,0","176"
"14","Sachsen","6.679","+21","252","6,2","226"
"15","Sachsen-Anhalt","2.443","+50","86","3,9","66"
"16","Schles­wig-Holstein","4.405","+21","174","6,0","161"
"17","Thüringen","3.933","+14","139","6,5","189"
"18","Gesamt","271.415","+1.345","10.735","12,9","9.386"
