"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","36.556","+64","331","3,0","1.838"
"3","Bayern","49.954","+82","488","3,7","2.617"
"4","Berlin","8.837","+35","132","3,5","222"
"5","Branden­burg","3.497","+12","30","1,2","167"
"6","Bremen","1.725","+4","34","5,0","55"
"7","Hamburg","5.244","+3","14","0,8","261"
"8","Hessen","11.458","+28","207","3,3","515"
"9","Meck­lenburg-
Vor­pommern","811","+2","7","0,4","20"
"10","Nieder­sachsen","14.101","+42","222","2,8","647"
"11","Nord­rhein-West­falen","46.367","+154","1.092","6,1","1.717"
"12","Rhein­land-Pfalz","7.346","+8","107","2,6","238"
"13","Saarland","2.835","+3","12","1,2","174"
"14","Sachsen","5.503","+2","22","0,5","225"
"15","Sachsen-Anhalt","1.961","+5","32","1,4","62"
"16","Schles­wig-Holstein","3.278","+7","50","1,7","155"
"17","Thüringen","3.326","+3","22","1,0","182"
"18","Gesamt","202.799","+454","2.802","3,4","9.095"
