"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Beson.ders.be.trof.fene.Gebiete.in.Deutsch.land"
"1","","An­zahl","Dif­fe­renz zum Vor­tag","Fälle/ 100.000 Einw.","Todes­fälle",""
"2","Baden-Württem­berg","6.069","+721","55","37",""
"3","Bayern","6.558","+804","50","37",""
"4","Berlin","1.428","+208","38","2",""
"5","Brandenburg","429","+86","17","1",""
"6","Bremen","200","+17","29","",""
"7","Hamburg","1.262","+219","69","",""
"8","Hessen","1.754","+134","28","4",""
"9","Mecklenburg-Vor­pommern","218","+19","14","",""
"10","Niedersachsen","2.140","+376","27","7",""
"11","Nordrhein-West­falen","7.197","+879","40","43","Landkreis Heinsberg"
"12","Rhein­land-Pfalz","1.591","+221","39","5",""
"13","Saarland","403","+66","41","2",""
"14","Sachsen","959","+148","24","6",""
"15","Sachsen-Anhalt","375","+54","17","1",""
"16","Schles­wig-Holstein","577","+99","20","3",""
"17","Thüringen","394","+67","18","1",""
"18","Gesamt","31.554","+4.118","38","149",""
