"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi-denz","Todes­fälle"
"2","Baden-Württem­berg","34.500","+34","311","2,8","1.724"
"3","Bayern","46.458","+2","631","4,8","2.404"
"4","Berlin","6.673","+21","128","3,4","193"
"5","Branden-burg","3.246","+10","33","1,3","154"
"6","Bremen","1.322","+9","65","9,5","42"
"7","Hamburg","5.072","+3","23","1,2","242"
"8","Hessen","9.860","+56","314","5,0","466"
"9","Meck-lenburg-
Vor­pommern","760","0","9","0,6","20"
"10","Nieder-sachsen","11.678","+32","330","4,1","578"
"11","Nord-rhein-West­falen","37.541","+146","712","4,0","1.577"
"12","Rhein­land-Pfalz","6.611","+11","67","1,6","229"
"13","Saarland","2.730","+3","21","2,1","160"
"14","Sachsen","5.247","+11","69","1,7","208"
"15","Sachsen-Anhalt","1.698","0","12","0,5","55"
"16","Schles­wig-Holstein","3.070","+3","53","1,8","140"
"17","Thüringen","2.898","+21","109","5,1","157"
"18","Gesamt","179.364","+362","2.887","3,5","8.349"
