"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","40.964","+279","1.492","13,5","1.863"
"3","Bayern","56.191","+424","1913","14,6","2.635"
"4","Berlin","10.934","+82","417","11,1","226"
"5","Branden­burg","3.839","+21","76","3,0","169"
"6","Bremen","1.944","+20","67","9,8","56"
"7","Hamburg","6.137","+27","137","7,4","266"
"8","Hessen","15.105","+80","1.018","16,2","529"
"9","Meck­lenburg-
Vor­pommern","999","+1","18","1,1","20"
"10","Nieder­sachsen","16.419","+145","498","6,2","661"
"11","Nord­rhein-West­falen","57.826","+266","1.891","10,5","1.807"
"12","Rhein­land-Pfalz","8.842","+83","364","8,9","243"
"13","Saarland","3.095","+10","56","5,7","174"
"14","Sachsen","5.866","+25","79","1,9","225"
"15","Sachsen-Anhalt","2.209","+10","54","2,4","65"
"16","Schles­wig-Holstein","3.981","+20","127","4,4","160"
"17","Thüringen","3.585","+14","59","2,8","186"
"18","Gesamt","237.936","+1.507","8.266","9,9","9.285"
