"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","41.248","+284","1.518","13,7","1.864"
"3","Bayern","56.639","+448","1.967","15,0","2.636"
"4","Berlin","11.011","+77","385","10,3","226"
"5","Branden­burg","3.857","+18","75","3,0","169"
"6","Bremen","1.958","+14","74","10,8","56"
"7","Hamburg","6.167","+30","139","7,5","266"
"8","Hessen","15.232","+127","930","14,8","530"
"9","Meck­lenburg-
Vor­pommern","1.001","+2","16","1,0","20"
"10","Nieder­sachsen","16.506","+87","500","6,3","660"
"11","Nord­rhein-West­falen","58.187","+361","1.888","10,5","1.808"
"12","Rhein­land-Pfalz","8.874","+32","338","8,3","243"
"13","Saarland","3.112","+17","55","5,6","174"
"14","Sachsen","5.905","+39","101","2,5","225"
"15","Sachsen-Anhalt","2.218","+9","50","2,3","65"
"16","Schles­wig-Holstein","4.000","+19","122","4,2","160"
"17","Thüringen","3.592","+7","53","2,5","186"
"18","Gesamt","239.507","+1.571","8.211","9,9","9.288"
