"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","35.890","+28","168","1,5","1.837"
"3","Bayern","48.953","+101","452","3,5","2.607"
"4","Berlin","8.502","+40","226","6,0","215"
"5","Branden­burg","3.476","+8","31","1,2","168"
"6","Bremen","1.679","0","12","1,8","54"
"7","Hamburg","5.224","+1","19","1,0","261"
"8","Hessen","11.012","+27","190","3,0","512"
"9","Meck­lenburg-
Vor­pommern","805","0","1","0,1","20"
"10","Nieder­sachsen","13.748","+17","146","1,8","639"
"11","Nord­rhein-West­falen","44.306","+148","930","5,2","1.696"
"12","Rhein­land-Pfalz","7.100","+6","64","1,6","235"
"13","Saarland","2.808","+2","5","0,5","174"
"14","Sachsen","5.465","+6","13","0,3","224"
"15","Sachsen-Anhalt","1.896","+2","21","1,0","59"
"16","Schles­wig-Holstein","3.194","+5","34","1,2","153"
"17","Thüringen","3.283","+6","27","1,3","182"
"18","Gesamt","197.341","+397","2.339","2,8","9.036"
