"","Bundesland","Zahl.be.stä.tig.ter.Fälle..darunter.Todes.fälle.","davon.elek.tro.nisch.über.mittelt...darunter.Todes.fälle.","Beson.ders.be.trof.fene.Gebiete.in.Deutsch.land"
"1","Baden-Württemberg","1.105 (3)","1.062 (3)",""
"2","Bayern","1.067 (5)","965 (4)",""
"3","Berlin","300","300",""
"4","Brandenburg","94","65",""
"5","Bremen","56","56",""
"6","Hamburg","260","255",""
"7","Hessen","342","241",""
"8","Mecklenburg-Vorpommern","51","36",""
"9","Niedersachsen","391","272",""
"10","Nordrhein-Westfalen","1.541 (5)","1.541 (5)","Landkreis Heinsberg"
"11","Rheinland-Pfalz","325","325",""
"12","Saarland","85","32",""
"13","Sachsen","140","103",""
"14","Sachsen-Anhalt","77","40",""
"15","Schleswig-Holstein","123","104",""
"16","Thüringen","55","36",""
"17","Gesamt","6.012 (13)","5.433 (12)",""
