"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","59.353","+700","4.740","42,7","1.928"
"3","Bayern","78.940","+1.036","5.748","43,8","2.713"
"4","Berlin","21.127","+363","3.075","83,8","240"
"5","Branden­burg","5.414","+109","567","22,5","172"
"6","Bremen","3.564","+87","493","72,4","63"
"7","Hamburg","9.750","+293","714","38,7","280"
"8","Hessen","25.440","+407","3.465","55,1","573"
"9","Meck­lenburg-
Vor­pommern","1.680","90","256","15,9","21"
"10","Nieder­sachsen","25.581","+294","2.449","30,6","714"
"11","Nord­rhein-West­falen","89.681","+1.477","9.819","54,7","1.943"
"12","Rhein­land-Pfalz","13.404","+177","1.303","31,8","263"
"13","Saarland","4.356","+135","651","66,0","177"
"14","Sachsen","9.935","+197","1.290","31,7","257"
"15","Sachsen-Anhalt","3.242","+108","312","14,2","71"
"16","Schles­wig-Holstein","5.626","+26","384","13,2","163"
"17","Thüringen","4.881","+88","432","20,2","199"
"18","Gesamt","361.974","+5.587","35.698","42,9","9.777"
