"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","35.236","+18","135","1,2","1.821"
"3","Bayern","47.799","+52","215","1,6","2.562"
"4","Berlin","7.603","+128","370","9,9","211"
"5","Branden­burg","3.374","+9","44","1,8","163"
"6","Bremen","1.626","+7","53","7,8","49"
"7","Hamburg","5.156","+2","17","0,9","259"
"8","Hessen","10.503","+63","188","3,0","499"
"9","Meck­lenburg-
Vor­pommern","791","+4","11","0,7","20"
"10","Nieder­sachsen","13.097","+34","277","3,5","618"
"11","Nord­rhein-West­falen","40.156","+379","1.069","6,0","1.660"
"12","Rhein­land-Pfalz","6.883","+9","53","1,3","234"
"13","Saarland","2.774","+1","8","0,8","168"
"14","Sachsen","5.382","+23","39","1,0","221"
"15","Sachsen-Anhalt","1.818","+16","84","3,8","57"
"16","Schles­wig-Holstein","3.131","+9","13","0,4","152"
"17","Thüringen","3.205","+16","49","2,3","178"
"18","Gesamt","188.534","+770","2.625","3,2","8.872"
