"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","36.041","+51","199","1,8","1.837"
"3","Bayern","49.184","+98","469","3,6","2.612"
"4","Berlin","8.617","+31","195","5,2","216"
"5","Branden­burg","3.459","+7","20","0,8","168"
"6","Bremen","1.689","+1","14","2,0","55"
"7","Hamburg","5.230","-1","16","0,9","261"
"8","Hessen","11.122","+18","189","3,0","514"
"9","Meck­lenburg-
Vor­pommern","804","+1","0","0,0","20"
"10","Nieder­sachsen","13.799","+8","97","1,2","641"
"11","Nord­rhein-West­falen","44.788","+143","857","4,8","1.704"
"12","Rhein­land-Pfalz","7.136","+10","56","1,4","236"
"13","Saarland","2.812","0","7","0,7","174"
"14","Sachsen","5.473","+4","14","0,3","225"
"15","Sachsen-Anhalt","1.907","+2","24","1,1","61"
"16","Schles­wig-Holstein","3.206","+4","24","0,8","154"
"17","Thüringen","3.289","+1","22","1,0","182"
"18","Gesamt","198.556","+378","2.203","2,7","9.060"
