"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","49.707","+286","1.576","14,2","1.886"
"3","Bayern","68.482","+486","2.087","16,0","2.663"
"4","Berlin","14.788","+288","1.103","29,4","228"
"5","Branden­burg","4.300","+42","131","5,2","169"
"6","Bremen","2.471","+36","213","31,2","59"
"7","Hamburg","7.896","+59","410","22,3","271"
"8","Hessen","19.089","+144","1.015","16,2","551"
"9","Meck­lenburg-
Vor­pommern","1.195","+15","54","3,4","20"
"10","Nieder­sachsen","20.290","+128","810","10,1","685"
"11","Nord­rhein-West­falen","70.580","+758","3.696","20,6","1.880"
"12","Rhein­land-Pfalz","10.740","+42","422","10,3","255"
"13","Saarland","3.315","+18","47","4,7","177"
"14","Sachsen","7.288","+86","327","8,0","235"
"15","Sachsen-Anhalt","2.654","+35","138","6,2","68"
"16","Schles­wig-Holstein","4.821","+49","268","9,3","162"
"17","Thüringen","4.106","+31","96","4,5","191"
"18","Gesamt","291.722","+2.503","12.393","14,9","9.500"
