"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg*","35.807","0","145","1,3","1.837"
"3","Bayern","48.744","+79","387","3,0","2.600"
"4","Berlin","8.451","+17","263","7,0","215"
"5","Branden­burg","3.464","+4","30","1,2","168"
"6","Bremen","1.679","+1","18","2,6","54"
"7","Hamburg","5.220","0","18","1,0","261"
"8","Hessen","10.955","+16","182","2,9","512"
"9","Meck­lenburg-
Vor­pommern","804","0","3","0,2","20"
"10","Nieder­sachsen","13.672","+8","129","1,6","635"
"11","Nord­rhein-West­falen","44.064","+74","1.068","6,0","1.689"
"12","Rhein­land-Pfalz","7.082","+2","88","2,2","235"
"13","Saarland","2.806","+1","3","0,3","174"
"14","Sachsen*","5.458","0","13","0,3","224"
"15","Sachsen-Anhalt","1.889","+9","17","0,8","59"
"16","Schles­wig-Holstein","3.187","+6","35","1,2","152"
"17","Thüringen","3.272","+2","23","1,1","181"
"18","Gesamt","196.554","+219","2.422","2,9","9.016"
