"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","36.227","+65","244","2,2","1.838"
"3","Bayern","49.538","+111","478","3,7","2.613"
"4","Berlin","8.699","+25","130","3,5","221"
"5","Branden­burg","3.466","+1","18","0,7","167"
"6","Bremen","1.697","+6","13","1,9","55"
"7","Hamburg","5.233","+2","8","0,4","261"
"8","Hessen","11.283","+66","215","3,4","514"
"9","Meck­lenburg-
Vor­pommern","805","+1","1","0,1","20"
"10","Nieder­sachsen","13.887","+39","86","1,1","643"
"11","Nord­rhein-West­falen","45.388","+155","859","4,8","1.711"
"12","Rhein­land-Pfalz","7.258","+36","142","3,5","238"
"13","Saarland","2.824","+1","15","1,5","174"
"14","Sachsen","5.484","+6","15","0,4","225"
"15","Sachsen-Anhalt","1.926","+5","23","1,0","62"
"16","Schles­wig-Holstein","3.235","+6","34","1,2","154"
"17","Thüringen","3.310","+9","23","1,1","182"
"18","Gesamt","200.260","+534","2.304","2,8","9.078"
