"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","60.053","+700","5.138","46,3","1.932"
"3","Bayern","79.735","+795","6.220","47,4","2.714"
"4","Berlin","21.429","+302","3.226","87,9","241"
"5","Branden­burg","5.451","+37","579","23,0","172"
"6","Bremen","3.590","+26","513","75,3","63"
"7","Hamburg","9.910","+160","792","42,9","280"
"8","Hessen","25.776","+336","3.671","58,4","576"
"9","Meck­lenburg-
Vor­pommern","1.705","+25","268","16,7","21"
"10","Nieder­sachsen","25.852","+271","2.531","31,7","713"
"11","Nord­rhein-West­falen","90.544","+863","9.942","55,4","1.946"
"12","Rhein­land-Pfalz","13.652","+248","1.449","35,4","263"
"13","Saarland","4.415","+59","667","67,6","177"
"14","Sachsen","10.275","+340","1.544","37,9","258"
"15","Sachsen-Anhalt","3.285","+43","318","14,5","71"
"16","Schles­wig-Holstein","5.714","+88","450","15,5","163"
"17","Thüringen","4.913","+32","456","21,4","199"
"18","Gesamt","366.299","+4.325","37.764","45,4","9.789"
