"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","44.118","+257","1.530","13,8","1.867"
"3","Bayern","60.121","+317","2.114","16,2","2.644"
"4","Berlin","11.879","+87","474","12,6","226"
"5","Branden­burg","3.959","+16","67","2,7","169"
"6","Bremen","2.085","+12","72","10,5","58"
"7","Hamburg*","6.527","0","170","9,2","267"
"8","Hessen","16.375","+97","660","10,5","536"
"9","Meck­lenburg-
Vor­pommern","1.038","+4","28","1,7","20"
"10","Nieder­sachsen","17.454","+82","482","6,0","665"
"11","Nord­rhein-West­falen","60.878","+183","1.543","8,6","1.826"
"12","Rhein­land-Pfalz","9.483","+49","302","7,4","245"
"13","Saarland","3.208","+9","50","5,0","175"
"14","Sachsen","6.191","+36","127","3,1","225"
"15","Sachsen-Anhalt","2.290","+3","31","1,4","66"
"16","Schles­wig-Holstein","4.168","+18","105","3,6","161"
"17","Thüringen","3.700","+6","55","2,6","188"
"18","Gesamt","253.474","+1.176","7.810","9,4","9.338"
