"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","41.574","+326","1.553","14,0","1.862"
"3","Bayern","56.972","+333","1.986","15,2","2.638"
"4","Berlin","11.125","+114","421","11,2","226"
"5","Branden­burg","3.867","+10","70","2,8","169"
"6","Bremen","1.980","+22","88","12,9","56"
"7","Hamburg","6.193","+26","131","7,1","266"
"8","Hessen","15.351","+119","838","13,4","530"
"9","Meck­lenburg-
Vor­pommern","1.004","+3","14","0,9","20"
"10","Nieder­sachsen","16.628","+122","502","6,3","660"
"11","Nord­rhein-West­falen","58.452","+265","1.708","9,5","1.809"
"12","Rhein­land-Pfalz","8.928","+54","314","7,7","243"
"13","Saarland","3.126","+14","49","4,9","174"
"14","Sachsen","5.934","+29","115","2,8","225"
"15","Sachsen-Anhalt","2.226","+8","48","2,2","65"
"16","Schles­wig-Holstein","4.015","+15","123","4,2","160"
"17","Thüringen","3.611","+19","63","2,9","186"
"18","Gesamt","240.986","+1.479","8.023","9,7","9.289"
