"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","47.353","+246","1.690","15,3","1.871"
"3","Bayern","65.331","+412","2.636","20,2","2.651"
"4","Berlin","13.257","+148","854","22,8","227"
"5","Branden­burg","4.101","+11","70","2,8","169"
"6","Bremen","2.223","+4","84","12,3","59"
"7","Hamburg","7.230","+65","296","16,1","269"
"8","Hessen","17.757","+120","748","11,9","545"
"9","Meck­lenburg-
Vor­pommern","1.123","+18","57","3,5","20"
"10","Nieder­sachsen","18.964","+64","822","10,3","670"
"11","Nord­rhein-West­falen","65.753","+521","2.839","15,8","1.848"
"12","Rhein­land-Pfalz","10.183","+67","357","8,7","248"
"13","Saarland*","3.234","0","56","5,7","176"
"14","Sachsen","6.774","+82","294","7,2","227"
"15","Sachsen-Anhalt","2.457","+4","90","4,1","66"
"16","Schles­wig-Holstein","4.460","+39","195","6,7","161"
"17","Thüringen","3.958","+20","133","6,2","189"
"18","Gesamt","274.158","+1.821","11.221","13,5","9.396"
