"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","35.694","+74","231","2,1","1.838"
"3","Bayern","48.480","+80","373","2,9","2.594"
"4","Berlin","8.243","+23","240","6,4","214"
"5","Branden­burg","3.440","+11","32","1,3","165"
"6","Bremen","1.667","+5","14","2,0","53"
"7","Hamburg","5.204","+3","34","1,8","259"
"8","Hessen","10.811","+16","153","2,4","507"
"9","Meck­lenburg-
Vor­pommern","803","+1","9","0,6","20"
"10","Nieder­sachsen","13.577","+42","194","2,4","629"
"11","Nord­rhein-West­falen","43.242","+176","1.343","7,5","1.683"
"12","Rhein­land-Pfalz","7.022","+26","81","2,0","235"
"13","Saarland","2.806","0","6","0,6","173"
"14","Sachsen","5.451","+3","13","0,3","223"
"15","Sachsen-Anhalt","1.873","+2","15","0,7","59"
"16","Schles­wig-Holstein","3.159","+5","21","0,7","152"
"17","Thüringen","3.253","-1","16","0,7","181"
"18","Gesamt","194.725","+466","2.775","3,3","8.985"
