"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","44.618","+222","1.441","13,0","1.868"
"3","Bayern","61.158","+399","2.398","18,3","2.644"
"4","Berlin","12.090","+139","522","13,9","226"
"5","Branden­burg","3.984","+18","70","2,8","169"
"6","Bremen","2.109","+15","62","9,1","58"
"7","Hamburg","6.699","+73","236","12,8","267"
"8","Hessen","16.603","+103","659","10,5","537"
"9","Meck­lenburg-
Vor­pommern","1.046","+2","27","1,7","20"
"10","Nieder­sachsen","17.645","+73","473","5,9","665"
"11","Nord­rhein-West­falen","61.505","+304","1.588","8,9","1.828"
"12","Rhein­land-Pfalz","9.623","+63","349","8,5","245"
"13","Saarland","3.222","+4","45","4,5","175"
"14","Sachsen","6.282","+27","156","3,8","225"
"15","Sachsen-Anhalt","2.314","+9","42","1,9","66"
"16","Schles­wig-Holstein","4.207","+10","97","3,3","161"
"17","Thüringen","3.745","+23","77","3,6","188"
"18","Gesamt","256.850","+1.484","8.242","9,9","9.342"
