"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","35.476","+30","195","1,8","1.830"
"3","Bayern","48.202","+80","272","2,1","2.594"
"4","Berlin","8.096","+75","414","11,0","212"
"5","Branden­burg","3.437","+9","51","2,0","165"
"6","Bremen","1.658","+5","32","4,7","49"
"7","Hamburg","5.173","-2","25","1,4","259"
"8","Hessen","10.707","+41","193","3,1","505"
"9","Meck­lenburg-
Vor­pommern","797","+1","5","0,3","20"
"10","Nieder­sachsen","13.422","+44","253","3,2","625"
"11","Nord­rhein-West­falen","42.150","+158","1.656","9,2","1.673"
"12","Rhein­land-Pfalz","6.951","+11","54","1,3","235"
"13","Saarland","2.802","+1","5","0,5","171"
"14","Sachsen","5.439","+1","38","0,9","222"
"15","Sachsen-Anhalt","1.862","+4","44","2,0","58"
"16","Schles­wig-Holstein","3.144","+4","13","0,4","152"
"17","Thüringen","3.240","+15","27","1,3","178"
"18","Gesamt","192.556","+477","3.277","3,9","8.948"
