"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","38.270","+108","522","4,7","1.859"
"3","Bayern","52.645","+209","861","6,6","2.631"
"4","Berlin","9.976","0*","383","10,2","224"
"5","Branden­burg","3.683","+32","61","2,4","169"
"6","Bremen","1.828","+6","30","4,4","56"
"7","Hamburg","5.821","+47","176","9,6","264"
"8","Hessen","13.187","+179","653","10,4","526"
"9","Meck­lenburg-
Vor­pommern","959","+5","33","2,1","20"
"10","Nieder­sachsen","15.318","+142","424","5,3","656"
"11","Nord­rhein-West­falen","53.661","+538","2.571","14,3","1.772"
"12","Rhein­land-Pfalz","8.059","+85","343","8,4","241"
"13","Saarland","2.976","+21","57","5,8","174"
"14","Sachsen","5.705","+20","72","1,8","225"
"15","Sachsen-Anhalt","2.099","+9","47","2,1","64"
"16","Schles­wig-Holstein","3.744","+30","173","6,0","158"
"17","Thüringen","3.482","+18","66","3,1","186"
"18","Gesamt","221.413","+1.449","6.472","7,8","9.225"
