"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","38.512","+32","606","5,5","1.859"
"3","Bayern","52.984","+96","1048","8,0","2.631"
"4","Berlin","10.253","+15","531","14,2","224"
"5","Branden­burg","3.703","+6","56","2,2","169"
"6","Bremen","1.845","+4","41","6,0","56"
"7","Hamburg","5.887","+9","160","8,7","264"
"8","Hessen","13.486","+53","734","11,7","526"
"9","Meck­lenburg-
Vor­pommern","973","+1","32","2,0","20"
"10","Nieder­sachsen","15.428","+44","412","5,2","656"
"11","Nord­rhein-West­falen","54.653","+263","2.694","15,0","1.778"
"12","Rhein­land-Pfalz","8.148","+27","306","7,5","242"
"13","Saarland","3.000","+0*","68","6,9","174"
"14","Sachsen","5.731","+1","75","1,8","225"
"15","Sachsen-Anhalt","2.123","+0","56","2,5","64"
"16","Schles­wig-Holstein","3.790","+8","192","6,6","158"
"17","Thüringen","3.498","+2","70","3,3","186"
"18","Gesamt","224.014","+561","7.081","8,5","9.232"
