"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","54.345","+477","3.183","28,7","1.901"
"3","Bayern","73.186","+343","3.358","25,6","2.685"
"4","Berlin","18.075","+247","2.278","62,1","234"
"5","Branden­burg","4.771","+31","306","12,1","169"
"6","Bremen","3.080","+22","463","68,0","61"
"7","Hamburg","8.963","+51","534","28,9","277"
"8","Hessen","22.039","+128","2.051","32,6","562"
"9","Meck­lenburg-
Vor­pommern*","1.373","+0*","84","5,2","20"
"10","Nieder­sachsen*","22.662","+0*","1.292","16,2","697"
"11","Nord­rhein-West­falen","79.981","+802","6.602","36,8","1.913"
"12","Rhein­land-Pfalz","12.106","+202","913","22,3","256"
"13","Saarland","3.703","+30","259","26,2","177"
"14","Sachsen","8.413","+73","799","19,6","248"
"15","Sachsen-Anhalt","2.932","+29","176","8,0","68"
"16","Schles­wig-Holstein","5.260","+25","312","10,7","162"
"17","Thüringen","4.442","+7","222","10,4","191"
"18","Gesamt","325.331","+2.467","22.832","27,5","9.621"
