"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","50.763","+523","1.732","15,2","1.888"
"3","Bayern","69.486","+300","2.108","16,1","2.671"
"4","Berlin","15.574","+203","1.374","36,7","231"
"5","Branden­burg","4.393","+24","158","6,3","169"
"6","Bremen","2.598","+41","234","34,3","59"
"7","Hamburg","8.176","+112","428","23,2","272"
"8","Hessen","19.788","+172","1.160","18,5","552"
"9","Meck­lenburg-
Vor­pommern*","1.220","+0*","59","3,7","20*"
"10","Nieder­sachsen","20.954","+177","953","11,9","690"
"11","Nord­rhein-West­falen","72.581","+518","3.905","21,8","1.884"
"12","Rhein­land-Pfalz","11.015","+40","458","11,2","256"
"13","Saarland*","3.380","+0*","83","8,4","177*"
"14","Sachsen","7.459","+68","300","7,4","239"
"15","Sachsen-Anhalt","2.736","+43","131","5,9","68"
"16","Schles­wig-Holstein","4.914","+16","226","7,8","162"
"17","Thüringen","4.200","+42","143","6,7","191"
"18","Gesamt","299.237","+2.279","13.452","16,2","9.529"
