"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","48.900","+433","1.518","13,7","1.880"
"3","Bayern","67.356","+101","2.130","16,3","2.659"
"4","Berlin","14.196","+83","1055","28,1","228"
"5","Branden­burg","4.217","+3","108","4,3","169"
"6","Bremen","2.372","+6","154","22,5","59"
"7","Hamburg","7.690","+52","405","22,0","269"
"8","Hessen","18.644","+37","987","15,8","550"
"9","Meck­lenburg-
Vor­pommern*","1.151","0","38","2,4","20"
"10","Nieder­sachsen*","19.772","0","722","9,0","683"
"11","Nord­rhein-West­falen","68.720","+325","3.237","18,1","1.865"
"12","Rhein­land-Pfalz","10.554","+71","410","10,0","251"
"13","Saarland*","3.295","0","59","6,0","176"
"14","Sachsen","7.122","+27","341","8,4","233"
"15","Sachsen-Anhalt","2.603","+34","143","6,5","67"
"16","Schles­wig-Holstein","4.686","+15","241","8,3","161"
"17","Thüringen","4.054","+5","108","5,0","190"
"18","Gesamt","285.332","+1.192","11.656","14,0","9.460"
