"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","43.423","+164","1.438","13,0","1.865"
"3","Bayern","59.014","+322","1719","13,1","2.642"
"4","Berlin","11.703","+80","493","13,2","226"
"5","Branden­burg","3.927","+4","49","2,0","169"
"6","Bremen","2.067","+11","78","11,4","58"
"7","Hamburg","6.486","+35","204","11,1","267"
"8","Hessen","16.098","+120","658","10,5","535"
"9","Meck­lenburg-
Vor­pommern","1.023","0","16","1,0","20"
"10","Nieder­sachsen","17.236","+26","461","5,8","665"
"11","Nord­rhein-West­falen","60.257","+172","1.569","8,7","1.823"
"12","Rhein­land-Pfalz","9.324","+19","254","6,2","243"
"13","Saarland","3.197","+8","45","4,5","174"
"14","Sachsen","6.147","+9","179","4,4","225"
"15","Sachsen-Anhalt","2.281","+7","41","1,9","66"
"16","Schles­wig-Holstein","4.120","+5","96","3,3","161"
"17","Thüringen","3.682","+6","52","2,4","186"
"18","Gesamt","249.985","+988","7.352","8,8","9.325"
