"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Beson.ders.be.trof.fene.Gebiete.in.Deutsch.land"
"1","","An­zahl","Dif­fe­renz zum Vor­tag","Fälle/ 100.000 Einw.","Todes­fälle",""
"2","Baden-Württem­berg","9.794","+13*","88","101",""
"3","Bayern","12.881","+1.731","99","107",""
"4","Berlin","2.360","+199","63","9",""
"5","Brandenburg","721","+76","29","1",""
"6","Bremen","275","+15","40","2",""
"7","Hamburg","1.846","+81","100","4",""
"8","Hessen","2.605","+1*","42","9",""
"9","Mecklenburg-Vor­pommern","348","+40","22","1",""
"10","Niedersachsen","3.450","+300","43","21",""
"11","Nordrhein-West­falen","11.400","+793","64","98","Landkreis Heinsberg"
"12","Rhein­land-Pfalz","2.396","+184","59","12",""
"13","Saarland","560","+10*","57","2",""
"14","Sachsen","1.617","+185","40","9",""
"15","Sachsen-Anhalt","592","+134","27","2",""
"16","Schles­wig-Holstein","1.005","+90","35","6",""
"17","Thüringen","697","+113","33","5",""
"18","Gesamt","52.547","+3.965","63","389",""
