"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3"
"1","","An­zahl","Dif­fe­renz zum 
Vor­tag","Fälle/ 100.000 Einw.","Todes­fälle"
"2","Baden-Württem­berg","33.287","+182","301","1.542"
"3","Bayern","44.265","+96","339","2.153"
"4","Berlin","6.261","+19","167","165"
"5","Brandenburg","3.101","+3","123","134"
"6","Bremen","1.043","+19","153","32"
"7","Hamburg","4.772","+0","259","204"
"8","Hessen","8.998","+82","144","411"
"9","Mecklenburg-
Vor­pommern","726","+4","45","19"
"10","Niedersachsen","10.827","+24","136","498"
"11","Nordrhein-West­falen","34.964","+147","195","1.425"
"12","Rhein­land-Pfalz","6.291","+9","154","195"
"13","Saarland","2.663","+3","269","142"
"14","Sachsen","4.886","+13","120","187"
"15","Sachsen-Anhalt","1.640","+3","74","48"
"16","Schles­wig-Holstein","2.938","+40","101","123"
"17","Thüringen","2.556","+23","119","117"
"18","Gesamt","169.218","+667","204","7.395"
