"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","35.057","+55","160","1,4","1.802"
"3","Bayern","47.574","+38","289","2,2","2.538"
"4","Berlin","7.165","+27","199","5,3","208"
"5","Branden­burg","3.306","-46*","25","1,0","161"
"6","Bremen","1.573","+8","75","11,0","45"
"7","Hamburg","5.134","+9","21","1,1","254"
"8","Hessen","10.313","+17","148","2,4","489"
"9","Meck­lenburg-
Vor­pommern","780","+2","16","1,0","20"
"10","Nieder­sachsen","12.777","+50","384","4,8","610"
"11","Nord­rhein-West­falen","39.060","+77","635","3,5","1.643"
"12","Rhein­land-Pfalz","6.827","0","67","1,6","231"
"13","Saarland","2.769","+3","31","3,1","168"
"14","Sachsen","5.344","-2","23","0,6","219"
"15","Sachsen-Anhalt","1.732","+4","15","0,7","56"
"16","Schles­wig-Holstein","3.120","+3","15","0,5","148"
"17","Thüringen","3.143","+13","78","3,6","171"
"18","Gesamt","185.674","+258","2.181","2,6","8.763"
