"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","35.090","+0*","123","1,1","1.805"
"3","Bayern","47.626","+14","270","2,1","2.541"
"4","Berlin","7.282","+30","269","7,2","208"
"5","Branden­burg","3.326","+0*","28","1,1","163"
"6","Bremen","1.589","+8","71","10,4","46"
"7","Hamburg","5.139","+0*","21","1,1","255"
"8","Hessen","10.324","+3","115","1,8","491"
"9","Meck­lenburg-
Vor­pommern","782","+1","8","0,5","20"
"10","Nieder­sachsen","12.874","+52","332","4,2","614"
"11","Nord­rhein-West­falen","39.233","+96","600","3,3","1.645"
"12","Rhein­land-Pfalz","6.840","+2","50","1,2","231"
"13","Saarland","2.772","+2","24","2,4","168"
"14","Sachsen","5.346","+1","17","0,4","218"
"15","Sachsen-Anhalt","1.756","+22","37","1,7","57"
"16","Schles­wig-Holstein","3.121","+1","10","0,3","151"
"17","Thüringen","3.169","+15","78","3,6","174"
"18","Gesamt","186.269","+247","2.053","2,5","8.787"
