"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","34.965","+7","156","1,4","1.798"
"3","Bayern","47.479","+56","322","2,5","2.531"
"4","Berlin","7.082","+40","200","5,3","206"
"5","Branden­burg","3.309","+7","20","0,8","160"
"6","Bremen","1.547","+15","100","14,6","43"
"7","Hamburg","5.121","+4","24","1,3","254"
"8","Hessen","10.256","+19","154","2,5","485"
"9","Meck­lenburg-
Vor­pommern","777","-3","16","1,0","20"
"10","Nieder­sachsen","12.626","+25","452","5,7","607"
"11","Nord­rhein-West­falen","38.845","+102","656","3,7","1.636"
"12","Rhein­land-Pfalz","6.810","+23","94","2,3","231"
"13","Saarland","2.763","+9","29","2,9","167"
"14","Sachsen","5.337","+4","30","0,7","217"
"15","Sachsen-Anhalt","1.721","+1","10","0,5","56"
"16","Schles­wig-Holstein","3.115","+1","10","0,3","148"
"17","Thüringen","3.108","+8","76","3,5","170"
"18","Gesamt","184.861","+318","2.349","2,8","8.729"
