"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi-denz","Todes­fälle"
"2","Baden-Württem­berg","34.466","+35","368","3,3","1.707"
"3","Bayern","46.456","+130","738","5,6","2.401"
"4","Berlin","6.652","+10","155","4,1","191"
"5","Branden-burg","3.236","22","29","1,2","154"
"6","Bremen","1.313","+1","75","11,0","42"
"7","Hamburg","5.069","0","23","1,2","241"
"8","Hessen","9.804","34","336","5,4","462"
"9","Meck-lenburg-
Vor­pommern","760","0","10","0,6","20"
"10","Nieder-sachsen","11.646","68","361","4,5","574"
"11","Nord-rhein-West­falen","37.395","+97","769","4,3","1.571"
"12","Rhein­land-Pfalz","6.600","+4","82","2,0","228"
"13","Saarland","2.727","+11","22","2,2","158"
"14","Sachsen","5.236","+5","89","2,2","207"
"15","Sachsen-Anhalt","1.698","+4","19","0,9","54"
"16","Schles­wig-Holstein","3.067","+5","64","2,2","139"
"17","Thüringen","2.877","+6","120","5,6","153"
"18","Gesamt","179.002","+432","3.260","3,9","8.302"
