"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","39.227","+259","959","8,7","1.860"
"3","Bayern","54.101","+394","1.595","12,2","2.631"
"4","Berlin","10.463","+69","400","10,7","224"
"5","Branden­burg","3.740","+12","60","2,4","169"
"6","Bremen","1.877","+12","55","8,1","56"
"7","Hamburg","5.954","+27","119","6,5","264"
"8","Hessen","14.029","+187","928","14,8","528"
"9","Meck­lenburg-
Vor­pommern","981","+3","27","1,7","20"
"10","Nieder­sachsen","15.724","+162","471","5,9","658"
"11","Nord­rhein-West­falen","55.770","+395","2.490","13,9","1.790"
"12","Rhein­land-Pfalz","8.427","+93","430","10,5","242"
"13","Saarland","3.039","+22","78","7,9","174"
"14","Sachsen","5.769","+20","65","1,6","226"
"15","Sachsen-Anhalt","2.146","+12","48","2,2","65"
"16","Schles­wig-Holstein","3.851","+26","130","4,5","160"
"17","Thüringen","3.523","+14","47","2,2","186"
"18","Gesamt","228.621","+1.707","7.902","9,5","9.253"
