"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","45.070","+167","1.341","12,1","1.867"
"3","Bayern","61.705","+144","2.255","17,2","2.645"
"4","Berlin","12.254","+38","520","13,9","226"
"5","Branden­burg","4.005","+2","64","2,5","169"
"6","Bremen","2.130","+13","63","9,2","58"
"7","Hamburg","6.814","+44","275","14,9","268"
"8","Hessen","16.808","+94","682","10,9","539"
"9","Meck­lenburg-
Vor­pommern","1.055","0","25","1,6","20"
"10","Nieder­sachsen","17.844","+61","520","6,5","667"
"11","Nord­rhein-West­falen","62.079","+259","1.666","9,3","1.828"
"12","Rhein­land-Pfalz","9.717","+68","344","8,4","246"
"13","Saarland","3.243","+18","43","4,3","175"
"14","Sachsen","6.365","+14","206","5,1","226"
"15","Sachsen-Anhalt","2.337","+7","53","2,4","66"
"16","Schles­wig-Holstein","4.222","+4","95","3,3","161"
"17","Thüringen","3.780","+15","90","4,2","188"
"18","Gesamt","259.428","+948","8.242","9,9","9.349"
