"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Beson.ders.be.trof.fene.Gebiete.in.Deutsch.land"
"1","","An­zahl","Dif­fe­renz zum Vor­tag","Fälle/ 100.000 Einw.","Todes­fälle",""
"2","Baden-Württem­berg","9.781","+1.620","88","101",""
"3","Bayern","11.150","+1.669","85","77",""
"4","Berlin","2.161","+206","58","8",""
"5","Brandenburg","645","+108","26","1",""
"6","Bremen","260","+19","38","2",""
"7","Hamburg","1.765","+72","96","2",""
"8","Hessen","2.604","+281","42","9",""
"9","Mecklenburg-Vor­pommern","308","+49","19","",""
"10","Niedersachsen","3.150","+340","39","12",""
"11","Nordrhein-West­falen","10.607","+1.372","59","80","Landkreis Heinsberg"
"12","Rhein­land-Pfalz","2.212","+241","54","11",""
"13","Saarland","550","+45","56","2",""
"14","Sachsen","1.432","+127","35","9",""
"15","Sachsen-Anhalt","458","+0 *","21","2",""
"16","Schles­wig-Holstein","915","+103","32","4",""
"17","Thüringen","584","+42","27","5",""
"18","Gesamt","48.582","+6.294","58","325",""
