"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg*","36.342","0","226","2,0","1.838"
"3","Bayern","49.775","+65","456","3,5","2.616"
"4","Berlin","8.779","+5","130","3,5","221"
"5","Branden­burg","3.483","+7","23","0,9","167"
"6","Bremen","1.720","+2","30","4,4","55"
"7","Hamburg","5.240","0","14","0,8","261"
"8","Hessen","11.409","+23","230","3,7","514"
"9","Meck­lenburg-
Vor­pommern","806","0","2","0,1","20"
"10","Nieder­sachsen","14.030","+67","200","2,5","645"
"11","Nord­rhein-West­falen","46.075","+51","1.048","5,8","1.713"
"12","Rhein­land-Pfalz","7.314","+15","126","3,1","238"
"13","Saarland","2.830","+2","11","1,1","174"
"14","Sachsen*","5.488","0","12","0,3","225"
"15","Sachsen-Anhalt","1.950","+4","31","1,4","62"
"16","Schles­wig-Holstein","3.261","+8","48","1,7","155"
"17","Thüringen","3.321","0","27","1,3","182"
"18","Gesamt","201.823","+249","2.614","3,1","9.086"
